peru,colombia,venezuela,bolivia,argentina,haiti,otros
7427,969,166,7777,346,3,1327
13377,3710,600,19375,942,127,5515
11126,19211,972,24063,1998,14,5279
1473,2102,273,2819,487,53,1591
2303,3349,1087,1307,1697,723,4275
3888,4473,3816,1788,7850,3351,15000
143243,62330,69446,14478,32844,54058,110169
1356,2022,1642,866,1785,1715,3856
665,1348,1640,341,1536,1503,3747
269,403,386,137,592,389,1560
1093,1518,1378,303,2627,131,5094
485,762,575,156,5283,258,3155
138,384,197,85,1416,57,1491
516,1264,567,140,4264,193,3856
93,353,49,21,1028,35,3747
160,1169,204,66,1715,27,1560
